Namespace;Enumeration name;Enumeration literal;Designation;Definition;Origin;Original code
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan20Centimetres;Equal to or less than20 centimetres;Indicates if the altitude accuracy is equal to or less than 20 centimetres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan20Metres;Equal to or less than20 metres;Indicates if the altitude accuracy is equal to or less than 20 metres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan2Centimetres;Equal to or less than2 centimetres;Indicates if the altitude accuracy is equal to or less than 2 centimetres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan2Metres;Equal to or less than2 metres;Indicates if the altitude accuracy is equal to or less than 2 metres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan50Centimetres;Equal to or less than50 centimetres;Indicates if the altitude accuracy is equal to or less than 50 centimetres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan50Metres;Equal to or less than50 metres;Indicates if the altitude accuracy is equal to or less than 50 metres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan5Centimetres;Equal to or less than5 centimetres;Indicates if the altitude accuracy is equal to or less than 5 centimetres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan5Metres;Equal to or less than5 metres;Indicates if the altitude accuracy is equal to or less than 5 metres;;
Situation;AnimalPresenceTypeEnum;animalsOnTheRoad;Animals on the road;Traffic may be disrupted due to animals on the roadway.;;
Situation;AnimalPresenceTypeEnum;herdOfAnimalsOnTheRoad;Herd of animals on the road;Traffic may be disrupted due to a herd of animals on the roadway.;;
Situation;AnimalPresenceTypeEnum;largeAnimalsOnTheRoad;Large animals on the road;Traffic may be disrupted due to large animals on the roadway.;;
LocationReferencing;AreaPlacesEnum;atBorders;At borders;At national borders;;
LocationReferencing;AreaPlacesEnum;atHighAltitudes;At high altitudes;At high altitudes;;
LocationReferencing;AreaPlacesEnum;inBuiltUpAreas;In built up areas;In built up areas, i.e. villages, towns and cities;;
LocationReferencing;AreaPlacesEnum;inForestedAreas;In forested areas;On sections of the road where it runs through or adjacent to forested areas;;
LocationReferencing;AreaPlacesEnum;inGalleries;In galleries;In galleries;;
LocationReferencing;AreaPlacesEnum;inLowLyingAreas;In low lying areas;In low-lying areas;;
LocationReferencing;AreaPlacesEnum;inRuralAreas;In rural areas;In rural areas, i.e. outside villages, towns and cities;;
LocationReferencing;AreaPlacesEnum;inShadedAreas;In shaded areas;In shaded areas;;
LocationReferencing;AreaPlacesEnum;inTheInnerCityAreas;In the inner city areas;In the city centre areas;;
LocationReferencing;AreaPlacesEnum;inTunnels;In tunnels;In tunnels;;
LocationReferencing;AreaPlacesEnum;onBridges;On bridges;On bridges;;
LocationReferencing;AreaPlacesEnum;onDownhillSections;On downhill sections;On downhill sections of the road;;
LocationReferencing;AreaPlacesEnum;onElevatedSections;On elevated sections;On elevated sections of the road;;
LocationReferencing;AreaPlacesEnum;onEnteringOrLeavingTunnels;On entering or leaving tunnels;On entering or leaving tunnels;;
LocationReferencing;AreaPlacesEnum;onFlyovers;On flyovers;On flyover sections of the road, i.e. sections of the road which pass over another road;;
LocationReferencing;AreaPlacesEnum;onPasses;On passes;On mountain passes;;
LocationReferencing;AreaPlacesEnum;onUndergroundSections;On underground sections;On underground sections of the road;;
LocationReferencing;AreaPlacesEnum;onUnderpasses;On underpasses;On underpasses, i.e. sections of the road which pass under another road;;
Situation;AuthorityOperationTypeEnum;accidentInvestigationWork;Accident investigation work;An operation involving authorised investigation work connected to an earlier reported accident.;;
Situation;AuthorityOperationTypeEnum;bombSquadInAction;Bomb squad in action;An operation where a bomb squad is in action to deal with suspected or actual explosive or incendiary devices which may cause disruption to traffic.;;
Situation;AuthorityOperationTypeEnum;civilEmergency;Civil emergency;A situation, perceived or actual, relating to a civil emergency which could disrupt traffic.  This includes large scale destruction, through events such as earthquakes, insurrection, and civil disobedience.;;
Situation;AuthorityOperationTypeEnum;customsOperation;Customs operation;A permanent or temporary operation established by customs and excise authorities on or adjacent to the carriageway.;;
Situation;AuthorityOperationTypeEnum;juridicalReconstruction;Juridical reconstruction;An operation involving the juridical reconstruction of events for the purposes of judicial or legal proceedings.;;
Situation;AuthorityOperationTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;AuthorityOperationTypeEnum;policeCheckPoint;Police check point;A permanent or temporary operation established on or adjacent to the carriageway for use by police or other authorities.;;
Situation;AuthorityOperationTypeEnum;snowChainOnBoardOrSnowTyresMountedCheck;Snow chain on board or snow tyres mounted check;the police are checking if snow chains are on board vehicles or vehicles have snow tyres mounted;;
Situation;AuthorityOperationTypeEnum;snowChainOrSnowTyresMountedCheck;Snow chain or snow tyres mounted check;the police are checking if snow chains or snow tyres are mounted on vehicles;;
Situation;AuthorityOperationTypeEnum;transportOfVip;Transport of VIP;An operation to transport one or more VIPs.;;
LocationReferencing;CarriagewayEnum;connectingCarriageway;Connecting carriageway;On the connecting carriageway.;;
LocationReferencing;CarriagewayEnum;cycleTrack;Cycle track;Independent road or part of a road designated for cycles, signposted as such. A cycle track is separated from other roads or other parts of the same road by structural means.;;
LocationReferencing;CarriagewayEnum;entrySlipRoad;Entry slip road;On the entry slip road.;;
LocationReferencing;CarriagewayEnum;exitSlipRoad;Exit slip road;On the exit slip road.;;
LocationReferencing;CarriagewayEnum;flyover;Flyover;On the flyover, i.e. the section of road passing over another.;;
LocationReferencing;CarriagewayEnum;footpath;Footpath;On the footpath;;
LocationReferencing;CarriagewayEnum;leftHandFeederRoad;Left hand feeder road;On the left hand feeder road.;;
LocationReferencing;CarriagewayEnum;leftHandParallelCarriageway;Left hand parallel carriageway;On the left hand parallel carriageway.;;
LocationReferencing;CarriagewayEnum;mainCarriageway;Main carriageway;On the main carriageway.;;
LocationReferencing;CarriagewayEnum;oppositeCarriageway;Opposite carriageway;On the opposite carriageway.;;
LocationReferencing;CarriagewayEnum;parallelCarriageway;Parallel carriageway;On the adjacent external parallel carriageway.;;
LocationReferencing;CarriagewayEnum;rightHandFeederRoad;Right hand feeder road;On the right hand feeder road.;;
LocationReferencing;CarriagewayEnum;rightHandParallelCarriageway;Right hand parallel carriageway;On the right hand parallel carriageway.;;
LocationReferencing;CarriagewayEnum;roundabout;Roundabout;On the roundabout.;;
LocationReferencing;CarriagewayEnum;serviceRoad;Service road;On the adjacent service road.;;
LocationReferencing;CarriagewayEnum;slipRoads;Slip roads;On the slip roads.;;
LocationReferencing;CarriagewayEnum;underpass;Underpass;On the underpass, i.e. the section of road passing under another.;;
LocationReferencing;CarriagewayEnum;unspecifiedCarriageway;Unspecified carriageway;On an unspecified carriageway;;
Situation;CauseTypeEnum;abnormalTraffic;Abnormal traffic;A traffic condition that is not normal.;;
Situation;CauseTypeEnum;accident;Accident;Accident.;;
Situation;CauseTypeEnum;animalPresence;Animal presence;An obstruction on the road resulting from the presence of animals;;
Situation;CauseTypeEnum;authorityOperation;Authority operation;Authority initiated operation or activity;;
Situation;CauseTypeEnum;constructionWork;Construction work;Roadworks involving the construction of new infrastructure.;;
Situation;CauseTypeEnum;disturbance;Disturbance;Deliberate human action of either a public disorder nature or of a situation alert type which could disrupt traffic.;;
Situation;CauseTypeEnum;drivingConditions;Driving conditions;Degraded driving conditions.;;
Situation;CauseTypeEnum;earlierEvent;Earlier event;An earlier event.;;
Situation;CauseTypeEnum;earlierIncident;Earlier incident;An earlier incident.;;
Situation;CauseTypeEnum;environmentalObstruction;Environmental obstruction;An obstruction on the road resulting from an environmental cause;;
Situation;CauseTypeEnum;equipmentOrSystemFault;Equipment or system fault;Equipment or system which is faulty, malfunctioning or not in a fully operational state;;
Situation;CauseTypeEnum;holidayTraffic;Holiday traffic;Holiday traffic.;;
Situation;CauseTypeEnum;infrastructureDamageObstruction;Infrastructure damage obstruction;An obstruction on the road resulting from the failure or damage of infrastructure on, under, above or close to the road;;
Situation;CauseTypeEnum;instructionToRoadUsers;Instruction to road users;Instruction and/or message issued by the network/road operator;;
Situation;CauseTypeEnum;networkManagement;Network management;Network management action which is applicable to the road network and its users.;;
Situation;CauseTypeEnum;nonWeatherRelatedRoadConditions;Non weather related road conditions;Road surface conditions that are not related to the weather;;
Situation;CauseTypeEnum;obstruction;Obstruction;Obstruction on the roadway.;;
Situation;CauseTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;CauseTypeEnum;poorEnvironment;Poor environment;Poor environmental conditions;;
Situation;CauseTypeEnum;problemsAtBorderPost;Problems at border post;Problems at the border crossing.;;
Situation;CauseTypeEnum;problemsAtCustomPost;Problems at custom post;Problems at the customs post on the border.;;
Situation;CauseTypeEnum;problemsOnLocalRoads;Problems on local roads;Problems (of an unspecified nature) on the local roads.;;
Situation;CauseTypeEnum;publicEvent;Public event;Organised public event;;
Situation;CauseTypeEnum;rerouting;Rerouting;Rerouting management action issued by the network/road operator;;
Situation;CauseTypeEnum;roadMaintenance;Road maintenance;Roadworks involving the maintenance or installation of infrastructure;;
Situation;CauseTypeEnum;roadOperatorServiceDisruption;Road operator service disruption;Disruption to normal road operator services;;
Situation;CauseTypeEnum;roadOrCarriagewayOrLaneManagement;Road or carriageway or lane management;Road, carriageway or lane management action instigated by the network/road operator;;
Situation;CauseTypeEnum;roadsideAssistance;Roadside assistance;Road side assistance;;
Situation;CauseTypeEnum;roadsideEvent;Roadside event;A roadside event (of unspecified nature) whether planned or not.;;
Situation;CauseTypeEnum;roadsideServiceDisruption;Roadside service disruption;Disruption to normal roadside services;;
Situation;CauseTypeEnum;rubberNecking;Rubber necking;Drivers being distracted and turning to look at an accident or other roadside event.;;
Situation;CauseTypeEnum;speedManagement;Speed management;Speed management action instigated by the network/road operator;;
Situation;CauseTypeEnum;technicalProblems;Technical problems;Technical problems.;;
Situation;CauseTypeEnum;transitServiceDisruption;Transit service disruption;Disruption to transit services of direct relevance to road users, e.g. connecting rail or ferry services;;
Situation;CauseTypeEnum;vandalism;Vandalism;A vandalism incident.;;
Situation;CauseTypeEnum;vehicleObstruction;Vehicle obstruction;An obstruction on the road caused by one or more vehicles.;;
Situation;CauseTypeEnum;weatherRelatedRoadConditions;Weather related road conditions;Road surface conditions related to the weather;;
Situation;CauseTypeEnum;winterEquipmentManagement;Winter equipment management;Winter driving management action instigated by the network/road operator;;
Situation;CollisionTypeEnum;collisionWithAnimal;Collision with animal;Collision of vehicle with one or more animals.;;
Situation;CollisionTypeEnum;collisionWithObstacle;Collision with obstacle;Collision of vehicle with an object of a stationary nature.;;
Situation;CollisionTypeEnum;collisionWithPerson;Collision with person;Collision of vehicle with one or more pedestrians.;;
Situation;CollisionTypeEnum;headOnCollision;Head on collision;Collision of vehicle with another vehicle head on.;;
Situation;CollisionTypeEnum;headOnOrSideCollision;Head on or side collision;Collision of vehicle with another vehicle either head on or sideways.;;
Situation;CollisionTypeEnum;multipleVehicleCollision;Multiple vehicle collision;Collision involving multiple vehicles;;
Situation;CollisionTypeEnum;rearCollision;Rear collision;Includes all accidents where one or more vehicles have collided with the rear of one or more other vehicles.;;
Situation;CollisionTypeEnum;sideCollision;Side collision;Includes all accidents where one or more vehicles have collided with the side of one or more other vehicles.;;
Situation;CommentTypeEnum;abnormalLoadMovementNote;Abnormal load movement note;A free text human oriented note describing details of abnormal load movements associated with the SituationRecord.;;
Situation;CommentTypeEnum;dataProcessingNote;Data processing note;A free text human oriented note describing the way the information in the SituationRecord has been or should be processed.;;
Situation;CommentTypeEnum;description;Description;A free text human oriented description of the situation element defined by the SituationRecord.;;
Situation;CommentTypeEnum;internalNote;Internal note;A free text human oriented note that supports internal traffic control operations relating to the situation element defined by the SituationRecord.;;
Situation;CommentTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;CommentTypeEnum;roadworksName;Roadworks name;Human-readable name by which the associated roadworks is known;;
Situation;CommentTypeEnum;warning;Warning;A free text human oriented warning relating to the SituationRecord, such as advising the recipient that an advanced warning on VMS should be activated.;;
Common;ComparisonOperatorEnum;equalTo;Equal to;Logical comparison operator of "equal to".;;
Common;ComparisonOperatorEnum;greaterThan;Greater than;Logical comparison operator of "greater than".;;
Common;ComparisonOperatorEnum;greaterThanOrEqualTo;Greater than or equal to;Logical comparison operator of "greater than or equal to".;;
Common;ComparisonOperatorEnum;lessThan;Less than;Logical comparison operator of "less than".;;
Common;ComparisonOperatorEnum;lessThanOrEqualTo;Less than or equal to;Logical comparison operator of "less than or equal to".;;
Situation;ComplianceOptionEnum;advisory;Advisory;Advisory compliance.;;
Situation;ComplianceOptionEnum;mandatory;Mandatory;Mandatory compliance.;;
Common;ComputationMethodEnum;arithmeticAverageOfSamplesBasedOnAFixedNumberOfSamples;Arithmetic average of samples based on a fixed number of samples;Arithmetic average of sample values based on a fixed number of samples.;;
Common;ComputationMethodEnum;arithmeticAverageOfSamplesInATimePeriod;Arithmetic average of samples in a time period;Arithmetic average of sample values in a time period.;;
Common;ComputationMethodEnum;harmonicAverageOfSamplesInATimePeriod;Harmonic average of samples in a time period;Harmonic average of sample values in a time period.;;
Common;ComputationMethodEnum;medianOfSamplesInATimePeriod;Median of samples in a time period;Median of sample values taken over a time period.;;
Common;ComputationMethodEnum;movingAverageOfSamples;Moving average of samples;Moving average of sample values.;;
Common;ConfidentialityValueEnum;internalUse;Internal use;For internal use only of the recipient organisation.;;
Common;ConfidentialityValueEnum;noRestriction;No restriction;No restriction on usage.;;
Common;ConfidentialityValueEnum;restrictedToAuthorities;Restricted to authorities;Restricted for use only by authorities.;;
Common;ConfidentialityValueEnum;restrictedToAuthoritiesAndTrafficOperators;Restricted to authorities and traffic operators;Restricted for use only by authorities and traffic operators.;;
Situation;ConstructionWorkTypeEnum;blastingWork;Blasting work;Blasting or quarrying work at the specified location.;;
Situation;ConstructionWorkTypeEnum;constructionWork;Construction work;Construction work of a general nature at the specified location.;;
Situation;ConstructionWorkTypeEnum;demolitionWork;Demolition work;Demolition work associated with the construction work.;;
Situation;ConstructionWorkTypeEnum;roadImprovementOrUpgrading;Road improvement or upgrading;Construction work associated with improvements to the road or its layout or with it upgrading.;;
Situation;ConstructionWorkTypeEnum;roadWideningWork;Road widening work;Road widening work at the specified location.;;
Common;DangerousGoodsRegulationsEnum;adr;ADR;European agreement on the international carriage of dangerous goods on road.;;
Common;DangerousGoodsRegulationsEnum;iataIcao;IATA ICAO;Regulations covering the international transportation of dangerous goods issued by the International Air Transport Association and the International Civil Aviation Organisation.;;
Common;DangerousGoodsRegulationsEnum;imoImdg;IMO IMDG;Regulations regarding the transportation of dangerous goods on ocean-going vessels issued by the International Maritime Organisation.;;
Common;DangerousGoodsRegulationsEnum;railroadDangerousGoodsBook;Railroad dangerous goods book;International regulations concerning the international carriage of dangerous goods by rail.;;
Common;DayEnum;friday;Friday;Friday.;;
Common;DayEnum;monday;Monday;Monday.;;
Common;DayEnum;saturday;Saturday;Saturday.;;
Common;DayEnum;sunday;Sunday;Sunday.;;
Common;DayEnum;thursday;Thursday;Thursday.;;
Common;DayEnum;tuesday;Tuesday;Tuesday.;;
Common;DayEnum;wednesday;Wednesday;Wednesday.;;
LocationReferencing;DirectionEnum;aligned;Aligned;Same direction as the normal direction of flow at this point on the road network.;;
LocationReferencing;DirectionEnum;allDirections;All directions;All directions (where more than two are applicable) at this point on the road network.;;
LocationReferencing;DirectionEnum;anticlockwise;Anticlockwise;Anti-clockwise.;;
LocationReferencing;DirectionEnum;bothWays;Both ways;Both directions that are applicable at this point on the road network.;;
LocationReferencing;DirectionEnum;clockwise;Clockwise;Clockwise.;;
LocationReferencing;DirectionEnum;eastBound;East bound;East bound general direction.;;
LocationReferencing;DirectionEnum;inboundTowardsTown;Inbound towards town;Heading towards town centre direction of travel.;;
LocationReferencing;DirectionEnum;innerRing;Inner ring;Inner ring direction.;;
LocationReferencing;DirectionEnum;northBound;North bound;North bound general direction.;;
LocationReferencing;DirectionEnum;northEastBound;North east bound;North east bound general direction.;;
LocationReferencing;DirectionEnum;northWestBound;North west bound;North west bound general direction.;;
LocationReferencing;DirectionEnum;opposite;Opposite;Opposite direction to the normal direction of flow at this point on the road network.;;
LocationReferencing;DirectionEnum;other;Other;Other than as defined in this enumeration.;;
LocationReferencing;DirectionEnum;outboundFromTown;Outbound from town;Heading out of or away from the town centre direction of travel.;;
LocationReferencing;DirectionEnum;outerRing;Outer ring;Outer ring direction.;;
LocationReferencing;DirectionEnum;southBound;South bound;South bound general direction.;;
LocationReferencing;DirectionEnum;southEastBound;South east bound;South east bound general direction.;;
LocationReferencing;DirectionEnum;southWestBound;South west bound;South west bound general direction.;;
LocationReferencing;DirectionEnum;unknown;Unknown;Direction is unknown.;;
LocationReferencing;DirectionEnum;westBound;West bound;West bound general direction.;;
Situation;DisturbanceActivityTypeEnum;attackOnVehicle;Attack on vehicle;A situation where an attack on a vehicle or its occupants has taken place.;;
Situation;DisturbanceActivityTypeEnum;bombAlert;Bomb alert;An alert to a situation where suspected or actual explosive or incendiary devices may cause disruption to traffic.;;
Situation;DisturbanceActivityTypeEnum;demonstration;Demonstration;A public protest with the potential to disrupt traffic.;;
Situation;DisturbanceActivityTypeEnum;goSlowOperation;Go slow operation;As a form of protest, several vehicles are driving in a convoy at a low speed which is affecting the normal traffic flow.;;
Situation;DisturbanceActivityTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;DisturbanceActivityTypeEnum;peopleThrowingObjectsOnTheRoad;People throwing objects on the road;People throwing objects on the road;;
Situation;DisturbanceActivityTypeEnum;securityIncident;Security incident;A situation related to a perceived or actual threat of crime or terrorism, which could disrupt traffic.;;
Situation;DisturbanceActivityTypeEnum;strike;Strike;A situation resulting from industrial action that could disrupt traffic.;;
Situation;DisturbanceActivityTypeEnum;terroristIncident;Terrorist incident;A situation related to a perceived or actual threat of terrorism, which could disrupt traffic.;;
Situation;DisturbanceActivityTypeEnum;unspecifiedAlert;Unspecified alert;An alert to a perceived or actual threat of an unspecified nature, which could disrupt traffic.;;
Situation;DrivingConditionTypeEnum;hazardous;Hazardous;Driving conditions are hazardous due to environmental conditions.;;
Situation;DrivingConditionTypeEnum;impossible;Impossible;Current conditions are making driving impossible.;;
Situation;DrivingConditionTypeEnum;normal;Normal;Driving conditions are normal.;;
Situation;DrivingConditionTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;DrivingConditionTypeEnum;passableWithCare;Passable with care;The roadway is passable to vehicles with driver care.;;
Situation;DrivingConditionTypeEnum;unknown;Unknown;Driving conditions are unknown.;;
Situation;DrivingConditionTypeEnum;veryHazardous;Very hazardous;Driving conditions are very hazardous due to environmental conditions.;;
Situation;DrivingConditionTypeEnum;winterConditions;Winter conditions;Driving conditions are consistent with those expected in winter.;;
Common;EmissionClassificationEuroEnum;euro5;Euro5;Euro 5.;;
Common;EmissionClassificationEuroEnum;euro5a;Euro5a;Euro 5a.;;
Common;EmissionClassificationEuroEnum;euro5b;Euro5b;Euro 5b.;;
Common;EmissionClassificationEuroEnum;euro6;Euro6;Euro 6.;;
Common;EmissionClassificationEuroEnum;euro6a;Euro6a;Euro 6a.;;
Common;EmissionClassificationEuroEnum;euro6b;Euro6b;Euro 6b.;;
Common;EmissionClassificationEuroEnum;euro6c;Euro6c;Euro 6c.;;
Common;EmissionClassificationEuroEnum;euroV;Euro v;Euro V.;;
Common;EmissionClassificationEuroEnum;euroVI;Euro v i;Euro VI.;;
Common;EmissionClassificationEuroEnum;other;Other;Any other level.;;
CommonExtension;EmissionClassificationEuroEnumExtended;euro0;Euro0;Euro 0.;;
CommonExtension;EmissionClassificationEuroEnumExtended;euro1;Euro1;Euro1.;;
CommonExtension;EmissionClassificationEuroEnumExtended;euro2;Euro2;Euro2.;;
CommonExtension;EmissionClassificationEuroEnumExtended;euro3;Euro3;Euro3.;;
CommonExtension;EmissionClassificationEuroEnumExtended;euro4;Euro4;Euro 4.;;
CommonExtension;EmissionClassificationEuroEnumExtended;euro6d;Euro6d;Euro 6d.;;
CommonExtension;EmissionClassificationEuroEnumExtended;euro6dTemp;Euro6d temp;Euro 6d-TEMP.;;
CommonExtension;EmissionClassificationEuroEnumExtended;euroI;Euro i;euro 1;;
CommonExtension;EmissionClassificationEuroEnumExtended;euroII;Euro i i;euro 2;;
CommonExtension;EmissionClassificationEuroEnumExtended;euroIII;Euro i i i;euro 3;;
CommonExtension;EmissionClassificationEuroEnumExtended;euroIV;Euro i v;Euro IV.;;
CommonExtension;EmissionClassificationEuroEnumExtended;euroUnknown;Euro unknown;euro qualification of engine unknown;;
Situation;EnvironmentalObstructionTypeEnum;avalanches;Avalanches;The road may be obstructed or partially obstructed due to snow slides.;;
Situation;EnvironmentalObstructionTypeEnum;fallenTrees;Fallen trees;The road is obstructed or partially obstructed by one or more fallen trees.;;
Situation;EnvironmentalObstructionTypeEnum;flashFloods;Flash floods;The road may become quickly inundated by powerful floodwaters due to heavy rain nearby.;;
Situation;EnvironmentalObstructionTypeEnum;flooding;Flooding;The road is obstructed or partially obstructed by flood water.;;
Situation;EnvironmentalObstructionTypeEnum;landslips;Landslips;The road may be obstructed or partially obstructed due to landslides.;;
Situation;EnvironmentalObstructionTypeEnum;mudSlide;Mud slide;The road may be obstructed or partially obstructed due to mudslides.;;
Situation;EnvironmentalObstructionTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;EnvironmentalObstructionTypeEnum;rockfalls;Rockfalls;The road may be obstructed or partially obstructed due to fallen rocks.;;
Situation;EnvironmentalObstructionTypeEnum;seriousFire;Serious fire;Traffic may be disrupted due to a fire (other than a vehicle fire) adjacent to the roadway.;;
Situation;EnvironmentalObstructionTypeEnum;sewerOverflow;Sewer overflow;The road is obstructed or partially obstructed by overflows from one or more sewers.;;
Situation;EnvironmentalObstructionTypeEnum;smokeOrFumes;Smoke or fumes;Smoke or fumes which may hinder driving conditions or distract drivers.;;
Situation;EquipmentOrSystemFaultTypeEnum;notWorking;Not working;Not working or functioning.;;
Situation;EquipmentOrSystemFaultTypeEnum;outOfService;Out of service;Out of service (usually for operational reasons).;;
Situation;EquipmentOrSystemFaultTypeEnum;workingIncorrectly;Working incorrectly;Working incorrectly.;;
Situation;EquipmentOrSystemFaultTypeEnum;workingIntermittently;Working intermittently;Working intermittently.;;
Situation;EquipmentOrSystemTypeEnum;emergencyRoadsideTelephones;Emergency roadside telephones;Emergency roadside telephones.;;
Situation;EquipmentOrSystemTypeEnum;laneControlSigns;Lane control signs;Signs used to control lane usage (e.g. in tidal flow systems or hard shoulder running).;;
Situation;EquipmentOrSystemTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;EquipmentOrSystemTypeEnum;rampControls;Ramp controls;Ramp control equipment.;;
Situation;EquipmentOrSystemTypeEnum;streetLighting;Street lighting;Street or road lighting.;;
Situation;EquipmentOrSystemTypeEnum;trafficLightSets;Traffic light sets;Sets of traffic lights.;;
Situation;EquipmentOrSystemTypeEnum;tunnelLights;Tunnel lights;Tunnel lights.;;
Situation;EquipmentOrSystemTypeEnum;tunnelSafetySystem;Tunnel safety system;Any tunnel safety system;;
Situation;EquipmentOrSystemTypeEnum;tunnelVentilation;Tunnel ventilation;Tunnel ventilation system.;;
Situation;EquipmentOrSystemTypeEnum;variableMessageSigns;Variable message signs;Variable message signs.;;
Common;FuelTypeEnum;all;All;All sort of fuel is accepted.;;
Common;FuelTypeEnum;battery;Battery;Battery.;;
Common;FuelTypeEnum;biodiesel;Biodiesel;Biodiesel.;;
Common;FuelTypeEnum;diesel;Diesel;Fuel used for compression-ignition (CI) engines.;;
Common;FuelTypeEnum;dieselBatteryHybrid;Diesel battery hybrid;Diesel and battery hybrid.;;
Common;FuelTypeEnum;ethanol;Ethanol;Ethanol.;;
Common;FuelTypeEnum;hydrogen;Hydrogen;Hydrogen.;;
Common;FuelTypeEnum;liquidGas;Liquid gas;Liquid gas of any type including LPG.;;
Common;FuelTypeEnum;lpg;LPG;Liquid petroleum gas.;;
Common;FuelTypeEnum;methane;Methane;Methane gas.;;
Common;FuelTypeEnum;other;Other;Other.;;
Common;FuelTypeEnum;petrol;Petrol;Fuel used for positive-ignition (PI) engines.;;
Common;FuelTypeEnum;petrol95Octane;Petrol95 octane;Petrol with 95 octane.;;
Common;FuelTypeEnum;petrol98Octane;Petrol98 octane;Petrol with 98 octane.;;
Common;FuelTypeEnum;petrolBatteryHybrid;Petrol battery hybrid;Petrol and battery hybrid.;;
Common;FuelTypeEnum;petrolLeaded;Petrol leaded;Leaded petrol.;;
Common;FuelTypeEnum;petrolUnleaded;Petrol unleaded;Unleaded petrol.;;
Common;FuelTypeEnum;unknown;Unknown;The sort of fuel is not known.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;observeAmberAlert;Observe amber alert;Observe current amber alert (an emergency alert issued for a missing or abducted child).;;
Situation;GeneralInstructionToRoadUsersTypeEnum;observeSigns;Observe signs;Observe signs.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;other;Other;Other than as defined in this enumeration.;;
